PCCDB-ID,Open Babel SMILES,HOMO-LUMO gap,HOMO energy,LUMO energy,Dipole moment,Excitation energy (1st),Oscillator strength (1st),Excitation energy (2nd),Oscillator strength (2nd),Excitation energy (3rd),Oscillator strength (3rd),Excitation energy (4th),Oscillator strength (4th),Num. of H bond acceptor,Num. of H bond donor,TPSA,logP,Molecular refractivity,Melting point
21598,SC(=S)OCC=C,4.977,-6.444,-1.4669999999999999,3.44,3.5380000000000003,0.0002,4.897,0.1315,5.254,0.0087,5.422000000000001,,3.0,1.0,80.12,1.4040000000000001,37.67,-4.16
13835,C=CCOC(=O)C=C,6.0489999999999995,-7.268,-1.219,1.42,4.747,0.0,5.307,0.0058,6.166,0.1191,6.287999999999999,,2.0,0.0,26.3,0.902,31.29,-55.32
12195,CCO/C(=N/CC)/O,8.003,-6.617999999999999,1.385,1.03,5.865,0.004,6.281000000000001,0.0114,6.641,0.0119,6.756,,3.0,1.0,38.33,1.143,30.62,24.06
12182,CCOC(=O)C#C,6.419,-7.581,-1.162,1.8,4.782,0.0001,5.626,0.0003,5.944,0.0907,6.567,,2.0,0.0,26.3,0.183,25.6,3.89
19803,C/C=C/C=C/C(=O)C,4.607,-6.2989999999999995,-1.693,3.37,3.4530000000000003,0.0,4.586,0.7712,5.968999999999999,0.0008,6.037999999999999,,1.0,0.0,17.07,1.7080000000000002,35.02,13.74
39493,C[C]1N([O])ON=C1N(=O)=O,4.098,-7.4639999999999995,-3.366,2.62,3.3930000000000002,0.0094,3.78,0.0,4.212,0.0003,4.341,,3.0,0.0,97.31,0.843,31.45,77.19
13392,Cc1ccn(n1)/N=C/O,5.54,-5.984,-0.444,1.11,4.992,0.3159,5.479,0.0881,5.5489999999999995,0.0012,5.8870000000000005,,4.0,1.0,46.92,0.6,32.83,74.39
10560,CC[C@H](S)C,7.124,-6.337999999999999,0.7859999999999999,1.82,5.331,0.0119,5.829,0.0402,6.224,0.0021,6.455,,1.0,1.0,38.8,1.715,29.27,-4.98
12717,O=CN(CC(=O)O)O,6.814,-7.218999999999999,-0.405,6.21,5.395,0.0022,5.4910000000000005,0.0017,5.821000000000001,0.0183,6.192,,5.0,2.0,77.84,-0.446,22.52,130.52
205,C[C@@H]([C@@H](C(=O)O)N)O,7.26,-6.808,0.452,4.38,5.63,0.0013,5.973,0.0003,6.102,0.008,6.382000000000001,,4.0,3.0,83.55,-0.521,26.98,124.79
25418,CN(N=O)CC,5.263,-5.995,-0.732,3.97,3.4019999999999997,0.0013,5.59,0.0085,5.846,0.156,6.227,,3.0,0.0,32.67,0.62,24.17,-2.88
27849,CCO[P@@H](=O)C,9.225,-7.358,1.867,3.3,6.808,0.0408,7.159,0.0067,7.224,0.0291,7.32,,2.0,1.0,49.77,1.127,26.62,-20.84
20307,CC/C=C/C=C/C=O,4.618,-6.553,-1.935,5.0,3.428,0.0001,4.7139999999999995,0.9678,6.064,0.0005,6.087999999999999,,1.0,0.0,17.07,1.7080000000000002,35.02,24.08
29971,CCN/N=C(/O)\C,6.142,-5.327999999999999,0.8140000000000001,3.18,4.662,0.0044,5.082,0.0018,5.3389999999999995,0.1405,5.739,,3.0,2.0,41.13,0.429,27.15,50.51
1727,N=c1cc[nH]cc1,5.121,-5.167000000000001,-0.046,5.55,4.171,0.0004,4.212,0.0171,5.082,0.0039,5.105,,2.0,1.0,38.91,1.245,28.64,67.98
6124,O=NN(C)C,5.301,-6.101,-0.8,3.92,3.4410000000000003,0.0012,5.644,0.0098,5.86,0.18100000000000002,6.351,,3.0,0.0,32.67,0.22899999999999998,19.36,-2.22
10931,CC(=CC(=O)O)C,6.074,-7.064,-0.991,5.24,4.865,0.017,5.99,0.2661,6.306,0.1041,6.6739999999999995,,2.0,1.0,37.3,1.037,27.45,64.47
