PCCDB-ID,Open Babel SMILES,HOMO-LUMO gap,HOMO energy,LUMO energy,Dipole moment,Excitation energy (1st),Oscillator strength (1st),Excitation energy (2nd),Oscillator strength (2nd),Excitation energy (3rd),Oscillator strength (3rd),Excitation energy (4th),Oscillator strength (4th),Num. of H bond acceptor,Num. of H bond donor,TPSA,logP,Molecular refractivity,Melting point
7091,Oc1cc2ccccc2cc1O,4.806,-5.562,-0.7559999999999999,0.51,4.236000000000001,0.0496,4.311,0.0395,4.916,0.0,4.967,,2.0,2.0,40.46,2.251,47.99,129.6
21345,c1ccc(cn1)Cc1c[nH]c2c1cccc2,5.037,-5.48,-0.444,3.32,4.254,0.0023,4.566,0.0709,4.664,0.0132,4.795,,1.0,1.0,28.68,3.154,65.55,145.66
14346,Nc1ccc(cc1)C(=O)c1ccccc1,4.387,-5.742000000000001,-1.355,4.75,3.6239999999999997,0.0069,3.977,0.3113,4.56,0.0037,4.669,,2.0,1.0,43.09,3.0810000000000004,60.72,113.91
8361,O=C(c1ccccc1O)Oc1ccccc1,5.034,-6.2989999999999995,-1.265,3.5,4.343,0.17600000000000002,4.489,0.0432,4.647,0.0013,4.965,,3.0,1.0,46.53,2.611,59.87,111.51
16238,CC(c1ccc2c(c1)cccc2)C,4.746,-5.671,-0.925,0.37,4.285,0.0438,4.414,0.0055,5.332999999999999,0.0001,5.446000000000001,,0.0,0.0,0.0,3.963,58.53,51.16
30931,OC(=O)Cc1cccc(c1)C(=O)c1ccccc1,4.863,-6.974,-2.112,6.75,3.549,0.001,4.311,0.0236,4.407,0.0055,4.573,,3.0,1.0,54.37,2.545,67.86,145.08
15203,C[C@H](c1ccccc1)CCc1ccccc1,6.31,-6.2989999999999995,0.011000000000000001,0.36,5.285,0.0002,5.289,0.0025,5.71,0.0798,5.805,,0.0,0.0,0.0,4.423,70.32,35.55
34804,O=Cc1ccc2c(c1)Cc1c2cccc1,4.338,-6.1579999999999995,-1.82,3.74,3.6289999999999996,0.0001,4.003,0.6186,4.343999999999999,0.0287,4.431,,1.0,0.0,17.07,3.07,60.28,108.28
36972,Nc1ccccc1c1cccc(c1)N(=O)=O,3.361,-5.739,-2.378,4.95,2.6830000000000003,0.0023,3.583,0.0093,3.7430000000000003,0.0002,3.988,,1.0,1.0,71.84,3.948,65.1,130.54
30490,C1CCC(CC1)(c1ccccc1)c1ccccc1,6.063,-6.1610000000000005,-0.098,0.29,5.162999999999999,0.0317,5.207999999999999,0.0049,5.449,0.0805,5.638999999999999,,0.0,0.0,0.0,4.937,77.7,63.75
15321,N#Cc1ccc(cc1)c1ccc(cc1)C#N,4.645,-6.968999999999999,-2.324,0.01,4.2989999999999995,0.8983,4.6530000000000005,0.0015,4.699,0.0141,5.098,,2.0,0.0,47.58,3.097,61.31,118.07
8592,[O][N]c1ccc2c(c1O)cccc2,3.11,-5.553999999999999,-2.444,6.08,1.476,0.0003,3.177,0.1048,3.514,0.0,4.048,,3.0,1.0,49.66,2.943,51.43,116.72
19876,Cc1cc(C)c(c(c1)C)c1ccccc1,6.12,-6.109,0.011000000000000001,0.13,5.079,0.0001,5.144,0.0019,5.276,0.0022,5.329,,0.0,0.0,0.0,4.279,66.78,55.1
9348,OC(=O)c1cccc(c1O)c1ccccc1,5.197,-6.531000000000001,-1.3330000000000002,7.46,4.423,0.1232,4.638,0.0019,4.896,0.0034,4.938,,3.0,2.0,57.53,2.7569999999999997,60.86,173.89
11803,O=N(=O)c1cccc2c1cccc2N(=O)=O,3.997,-7.102,-3.105,0.32,3.404,0.1621,3.625,0.0,3.7430000000000003,0.0211,3.864,,0.0,0.0,91.64,3.7030000000000003,61.59,127.25
9187,c1ccc2c(c1)cc1c(c2)c2ccsc2cc1,3.5780000000000003,-5.218999999999999,-1.641,0.6,3.193,0.0834,3.6719999999999997,0.0265,4.149,0.0014,4.3260000000000005,,1.0,0.0,28.24,5.207999999999999,76.84,137.56
31744,N#Cc1cccc2c1cccc2N(=O)=O,4.022,-6.968999999999999,-2.947,0.39,3.445,0.1362,3.679,0.0064,4.0,0.0317,4.235,,1.0,0.0,69.61,3.1430000000000002,57.48,126.19
27025,NC[C@@H](C1(O)c2ccccc2c2c1cccc2)C,4.882,-5.8420000000000005,-0.961,2.44,4.311,0.1616,4.385,0.026000000000000002,4.665,0.0167,4.877,,2.0,2.0,46.25,3.198,73.06,151.33
15565,Cc1ccc2c3c1cccc3c1c2cccc1,3.9589999999999996,-5.66,-1.7009999999999998,0.78,3.306,0.017,3.5269999999999997,0.193,4.115,0.0246,4.534,,0.0,0.0,0.0,4.796,73.34,126.73
23503,CC(c1ccc(cc1)c1ccccc1)C,5.265,-5.886,-0.62,0.39,4.76,0.568,4.834,0.0052,4.928999999999999,0.0004,5.497000000000001,,0.0,0.0,0.0,4.477,66.46,44.1
21071,Cc1ccc(cc1)Cc1ccc(cc1)C,6.0489999999999995,-6.013999999999999,0.035,0.29,5.035,0.0191,5.162999999999999,0.0043,5.308,0.0902,5.43,,0.0,0.0,0.0,3.8939999999999997,65.83,47.22
